token,headword,tokenRank,headRank,tokenBand,headBand,tokenFreq,headFreq,PoS
the,the,1,1,01k,01k,6056782,6056782,ArtP
of,of,2,3,01k,01k,3052563,3052563,Prep
and,and,3,4,01k,01k,2627506,2627531,Conj
to,to,4,5,01k,01k,2605024,2605024,InfM
a,a,5,6,01k,01k,2186984,2525253,ArtP
in,in,6,7,01k,01k,1956468,1963562,Prep
that,that,7,11,01k,01k,1120868,1208154,Conj
it,it,8,9,01k,01k,1054802,1238613,Pron
is,be,9,2,01k,01k,974447,4725359,Verb
for,for,10,13,01k,01k,881604,881846,Prep
i,i,11,12,01k,01k,875855,1172647,Pron
was,be,12,2,01k,01k,863924,4725359,Verb
s,be,13,2,01k,01k,842997,4725359,Verb
on,on,14,17,01k,01k,735756,741805,Prep
you,you,15,15,01k,01k,668690,821635,Pron
with,with,16,19,01k,01k,660104,660232,Prep
as,as,17,20,01k,01k,655510,655510,Conj
be,be,18,2,01k,01k,652522,4725359,Verb
he,he,19,10,01k,01k,641269,1234521,Pron
at,at,20,24,01k,01k,524402,524402,Prep
by,by,21,25,01k,01k,516058,516081,Prep
are,be,22,2,01k,01k,458447,4725359,Verb
this,this,23,21,01k,01k,454577,578204,Detr
have,have,24,8,01k,01k,448766,1344286,Verb
but,but,25,26,01k,01k,446897,446944,Conj
not,not,26,16,01k,01k,431448,763344,Neg
from,from,27,27,01k,01k,426024,426024,Prep
they,they,28,14,01k,01k,420528,868761,Pron
had,have,29,8,01k,01k,413170,1344286,Verb
his,he,30,10,01k,01k,410340,1234521,ArtP
or,or,31,28,01k,01k,370354,370503,Conj
which,which,32,29,01k,01k,366209,367055,Detr
she,she,33,18,01k,01k,353421,676070,Pron
we,we,34,23,01k,01k,350427,531030,Pron
an,a,35,6,01k,01k,338269,2525253,ArtP
t,not,36,16,01k,01k,330239,763344,Noun
there,there,37,32,01k,01k,319874,319874,Exst
were,be,38,2,01k,01k,308376,4725359,Verb
one,one,39,33,01k,01k,305769,318107,Num
her,she,40,18,01k,01k,304341,676070,ArtP
all,all,41,34,01k,01k,282152,282152,Detr
been,be,42,2,01k,01k,260393,4725359,Verb
their,they,43,14,01k,01k,254604,868761,ArtP
if,if,44,38,01k,01k,253842,253898,Conj
has,have,45,8,01k,01k,252707,1344286,Verb
will,will,46,30,01k,01k,251395,320814,Verb
so,so,47,42,01k,01k,242541,242541,Adv
can,can,48,37,01k,01k,241552,263030,Verb
what,what,49,39,01k,01k,240881,253809,Detr
no,no,50,36,01k,01k,232585,273619,ArtP
would,would,51,40,01k,01k,230782,246616,Verb
up,up,52,46,01k,01k,221754,223719,Adv
when,when,53,48,01k,01k,209983,213030,Conj
more,more,54,49,01k,01k,209874,209874,Adv
out,out,55,44,01k,01k,203178,230247,Adv
who,who,56,43,01k,01k,201128,234518,Pron
said,say,57,31,01k,01k,195588,320400,Verb
about,about,58,51,01k,01k,192168,192168,Prep
do,do,59,22,01k,01k,177309,539713,Verb
them,they,60,14,01k,01k,167474,868761,Pron
some,some,61,35,01k,01k,167385,273968,Detr
time,time,62,50,01k,01k,164352,197715,Noun
two,two,63,60,01k,01k,161596,168048,Num
its,it,64,9,01k,01k,160554,1238613,ArtP
into,into,65,63,01k,01k,157907,157907,Prep
then,then,66,65,01k,01k,154918,154918,Adv
other,other,67,56,01k,01k,154367,182034,Adj
him,he,68,10,01k,01k,153875,1234521,Pron
like,like,69,64,01k,01k,151970,156796,Prep
well,well,70,66,01k,01k,151395,151619,Adv
only,only,71,67,01k,01k,149228,149228,Adv
my,i,72,12,01k,01k,146817,1172647,ArtP
than,than,73,70,01k,01k,145073,145073,Conj
could,could,74,62,01k,01k,144007,160197,Verb
now,now,75,71,01k,01k,139604,139604,Adv
over,over,76,72,01k,01k,136196,136377,Prep
your,you,77,15,01k,01k,134496,821635,ArtP
me,i,78,12,01k,01k,131605,1172647,Pron
may,may,79,75,01k,01k,128063,128063,Verb
just,just,80,76,01k,01k,126564,126564,Adv
new,new,81,73,01k,01k,125338,133652,Adj
first,first,82,77,01k,01k,124203,125990,Num
these,this,83,21,01k,01k,123627,578204,Detr
also,also,84,79,01k,01k,123611,123611,Adv
any,any,85,55,01k,01k,122131,185271,Detr
people,people,86,80,01k,01k,121942,123540,Noun
know,know,87,52,01k,01k,119717,190679,Verb
very,very,88,81,01k,01k,119652,119652,Adv
see,see,89,53,01k,01k,115594,188145,Verb
after,after,90,82,01k,01k,114733,119219,Prep
such,such,91,90,01k,01k,107485,107485,Detr
where,where,92,88,01k,01k,105995,108206,Adv
should,should,93,87,01k,01k,105167,109183,Verb
because,because,94,83,01k,01k,100657,117444,Conj
back,back,95,86,01k,01k,100290,109779,Adv
how,how,96,94,01k,01k,99440,99457,Adv
most,most,97,91,01k,01k,98278,102116,Adv
way,way,98,84,01k,01k,97544,112608,Noun
m,be,99,2,01k,01k,97122,4725359,Verb
get,get,100,47,01k,01k,96367,214216,Verb
don,do,101,22,01k,01k,95588,539713,Verb
down,down,102,95,01k,01k,94540,97491,Adv
made,make,103,45,01k,01k,93581,223856,Verb
right,right,104,97,01k,01k,93516,93639,Adv
our,we,105,23,01k,01k,93464,531030,ArtP
re,be,106,2,01k,01k,92507,4725359,Verb
did,do,107,22,01k,01k,92063,539713,Verb
much,much,108,101,01k,01k,90827,90827,Detr
between,between,109,102,01k,01k,90781,90806,Prep
work,work,110,59,01k,01k,90756,168597,Noun
years,year,111,57,01k,01k,89058,178649,Noun
many,many,112,103,01k,01k,89002,89002,Detr
think,think,113,61,01k,01k,88957,167038,Verb
year,year,114,57,01k,01k,88679,178649,Noun
being,be,115,2,01k,01k,88530,4725359,Verb
go,go,116,41,01k,01k,87890,244339,Verb
even,even,117,104,01k,01k,87875,87913,Adv
those,that,118,11,01k,01k,87195,1208154,Detr
got,get,119,47,01k,01k,86573,214216,Verb
ve,have,120,8,01k,01k,86326,1344286,Verb
three,three,121,85,01k,01k,85251,110292,Num
before,before,122,105,01k,01k,85183,85183,Prep
